user_id,search,view,plan,book,budget,group_size
0,1,0,0,0,Medium,2
1,1,1,1,0,High,3
2,1,0,0,0,Medium,5
3,1,1,1,0,High,3
4,1,1,0,0,Low,2
5,1,1,1,0,High,5
6,1,1,1,1,Low,5
7,1,1,1,1,Medium,4
8,1,1,0,0,Low,3
9,1,1,1,1,Low,5
10,1,1,1,1,High,2
11,1,0,0,0,Low,5
12,1,1,1,1,High,3
13,1,1,1,1,Medium,2
14,1,0,0,0,Low,3
15,1,1,1,0,High,3
16,1,1,0,0,High,2
17,1,1,1,0,Medium,3
18,1,1,0,0,Medium,2
19,1,0,0,0,Low,4
20,1,1,1,1,Medium,3
21,1,1,1,0,Low,5
22,1,1,1,0,High,2
23,1,0,0,0,Low,4
24,1,1,1,1,Low,5
25,1,1,1,0,High,3
26,1,1,1,0,Low,5
27,1,1,0,0,Medium,2
28,1,1,1,0,Low,3
29,1,1,1,1,Low,5
30,1,1,0,0,Medium,4
31,1,1,1,0,High,2
32,1,1,0,0,Medium,3
33,1,1,1,1,High,3
34,1,0,0,0,Low,2
35,1,1,0,0,Low,3
36,1,1,1,1,High,3
37,1,0,0,0,High,2
38,1,1,1,1,Low,4
39,1,1,1,0,High,4
40,1,1,1,1,Medium,5
41,1,1,1,0,Medium,4
42,1,1,0,0,Low,4
43,1,1,1,0,Medium,5
44,1,1,1,1,Medium,5
45,1,1,1,0,High,5
46,1,1,1,1,Low,3
47,1,1,0,0,Medium,2
48,1,1,1,0,Low,4
49,1,1,1,1,Medium,5
50,1,1,1,0,Medium,2
51,1,1,1,1,Medium,3
52,1,1,1,0,Low,5
53,1,1,1,1,Medium,5
54,1,0,0,0,High,4
55,1,1,0,0,High,5
56,1,0,0,0,Medium,4
57,1,0,0,0,Low,2
58,1,1,1,0,Medium,2
59,1,0,0,0,High,2
60,1,1,1,1,Medium,2
61,1,1,1,0,Low,5
62,1,1,1,1,High,5
63,1,1,1,1,Low,4
64,1,1,0,0,Medium,2
65,1,1,1,1,Medium,5
66,1,1,1,0,High,5
67,1,1,1,0,Low,2
68,1,1,0,0,High,2
69,1,1,0,0,Low,5
70,1,1,0,0,Medium,3
71,1,1,1,1,Low,5
72,1,1,1,1,High,5
73,1,1,0,0,Medium,2
74,1,1,0,0,High,5
75,1,1,1,1,High,5
76,1,1,0,0,Medium,5
77,1,1,0,0,Low,5
78,1,1,1,0,Medium,4
79,1,1,1,1,Low,5
80,1,1,1,1,Medium,5
81,1,1,1,0,High,4
82,1,1,1,1,Low,5
83,1,1,1,0,Medium,5
84,1,1,0,0,Medium,4
85,1,1,1,1,Medium,5
86,1,1,1,0,Low,4
87,1,1,1,0,High,3
88,1,0,0,0,Low,3
89,1,1,0,0,High,2
90,1,1,1,0,Low,5
91,1,1,0,0,High,3
92,1,1,1,0,Medium,3
93,1,1,1,1,Medium,4
94,1,1,0,0,High,3
95,1,1,1,0,Low,2
96,1,0,0,0,Low,4
97,1,0,0,0,Medium,3
98,1,1,1,0,Low,2
99,1,1,1,0,Low,2
100,1,1,1,1,High,3
101,1,1,1,1,Medium,2
102,1,1,1,0,High,3
103,1,1,0,0,Medium,5
104,1,1,1,0,Medium,4
105,1,1,1,0,Medium,3
106,1,0,0,0,Low,3
107,1,1,1,0,Low,4
108,1,1,1,1,Medium,3
109,1,1,1,1,Medium,4
110,1,1,1,1,High,2
111,1,1,0,0,High,2
112,1,0,0,0,Low,5
113,1,1,0,0,Medium,4
114,1,1,1,1,Medium,2
115,1,1,1,0,Medium,4
116,1,1,1,1,Medium,3
117,1,1,1,0,High,3
118,1,1,0,0,High,3
119,1,0,0,0,Medium,5
120,1,1,0,0,Low,5
121,1,1,1,0,High,4
122,1,1,1,0,Medium,3
123,1,1,1,1,Low,2
124,1,0,0,0,Medium,4
125,1,1,1,1,Low,2
126,1,1,0,0,High,3
127,1,1,1,1,Medium,2
128,1,1,1,0,Medium,4
129,1,1,1,0,Low,3
130,1,1,1,0,High,3
131,1,1,1,1,Medium,5
132,1,1,1,0,Medium,2
133,1,0,0,0,Low,5
134,1,1,1,1,High,2
135,1,1,1,0,Low,3
136,1,1,1,1,Medium,2
137,1,1,1,1,Medium,4
138,1,1,1,1,Low,2
139,1,1,1,0,Medium,4
140,1,1,1,1,Medium,3
141,1,1,1,1,Low,2
142,1,0,0,0,Low,2
143,1,1,1,0,High,5
144,1,1,0,0,Low,5
145,1,1,1,1,Low,3
146,1,1,1,0,Low,5
147,1,1,1,1,Medium,2
148,1,1,1,1,Medium,2
149,1,1,1,0,Low,3
150,1,1,0,0,Medium,4
151,1,1,1,1,Medium,4
152,1,1,1,0,Low,5
153,1,1,1,0,High,2
154,1,1,1,0,Low,5
155,1,1,0,0,Medium,2
156,1,1,1,1,Low,5
157,1,1,1,1,Medium,4
158,1,1,1,1,High,5
159,1,1,1,1,High,2
160,1,1,1,1,Low,5
161,1,1,1,1,Medium,4
162,1,1,0,0,High,4
163,1,1,1,1,Low,3
164,1,1,1,1,Medium,3
165,1,1,1,0,Low,4
166,1,1,1,0,Low,5
167,1,1,1,0,Medium,3
168,1,1,1,0,High,2
169,1,1,1,1,Low,4
170,1,1,0,0,High,5
171,1,1,1,1,Low,2
172,1,0,0,0,High,3
173,1,1,1,0,Low,2
174,1,0,0,0,Low,2
175,1,1,1,0,Low,2
176,1,1,1,0,Medium,2
177,1,1,1,1,Medium,2
178,1,1,0,0,Low,2
179,1,1,0,0,Low,4
180,1,1,1,1,Medium,5
181,1,1,0,0,Medium,3
